Unnamed: 0,Unnamed: 1,Unnamed: 2,<,연료별,차종별,용도별,등록현황,Unnamed: 8,>,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
조회년월:,2018.09,,,,,,,,,,,,,,,,,,,
연료별,시도별,,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
,종별,용도별,,,,,,,,,,,,,,,,,,
휘발유,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,1571843,630978,551964,596907,287769,319832,275968,71235,2611418,318683,344919,461352,360262,340117,600786,773077,159974,10277084
,,사업용,19299,13114,1802,104469,1341,1349,1075,43,13360,1336,1415,1947,3154,37264,1328,12126,59618,274040
,,계,1591142,644092,553766,701376,289110,321181,277043,71278,2624778,320019,346334,463299,363416,377381,602114,785203,219592,10551124
,승합,비사업용,1017,257,242,224,94,117,69,17,1151,126,125,157,142,152,252,259,73,4474
,,사업용,39,3,0,2,0,1,1,0,18,1,1,0,5,0,0,1,4,76
,,계,1056,260,242,226,94,118,70,17,1169,127,126,157,147,152,252,260,77,4550
,화물,비사업용,1800,506,538,455,235,273,219,49,2507,439,375,544,541,588,855,820,218,10962
,,사업용,1,2,0,1,0,0,4,0,5,1,0,1,0,0,5,0,0,20
,,계,1801,508,538,456,235,273,223,49,2512,440,375,545,541,588,860,820,218,10982
,특수,비사업용,18,5,0,9,0,2,1,0,7,0,0,2,1,2,2,2,1,52
,,사업용,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4
,,계,18,5,0,9,0,2,1,0,10,1,0,2,1,2,2,2,1,56
,소계,비사업용,1574678,631746,552744,597595,288098,320224,276257,71301,2615083,319248,345419,462055,360946,340859,601895,774158,160266,10292572
,,사업용,19339,13119,1802,104472,1341,1350,1080,43,13386,1339,1416,1948,3159,37264,1333,12127,59622,274140
,,계,1594017,644865,554546,702067,289439,321574,277337,71344,2628469,320587,346835,464003,364105,378123,603228,786285,219888,10566712
경유,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,729735,322373,284145,363473,161497,155853,144851,38791,1423116,186003,192458,258736,219539,211280,301946,384100,82088,5459984
,,사업용,12988,12739,1678,90664,1618,1221,583,74,7327,997,1364,1786,2986,36885,896,12253,58146,244205
,,계,742723,335112,285823,454137,163115,157074,145434,38865,1430443,187000,193822,260522,222525,248165,302842,396353,140234,5704189
,승합,비사업용,86811,33807,24567,36324,15997,17315,11938,3392,163163,24309,24704,34570,26776,29275,39692,42937,10606,626183
,,사업용,7593,3348,2498,9673,1465,965,1256,300,24861,2867,3311,5125,3695,7281,4808,6434,7514,92994
,,계,94404,37155,27065,45997,17462,18280,13194,3692,188024,27176,28015,39695,30471,36556,44500,49371,18120,719177
,화물,비사업용,253263,149327,136655,149274,75517,72124,58838,13304,637669,140641,138059,194900,165933,211624,281805,256465,72296,3007694
,,사업용,49769,20373,17520,20186,10436,10052,6372,1368,97300,7362,11111,14446,13136,14027,18583,20069,3204,335314
,,계,303032,169700,154175,169460,85953,82176,65210,14672,734969,148003,149170,209346,179069,225651,300388,276534,75500,3343008
,특수,비사업용,2736,1581,899,1478,757,773,554,155,5569,1305,1197,1679,1489,2068,2559,2173,607,27579
,,사업용,4936,8482,1867,5003,1643,1555,2010,148,10568,1535,2590,2813,2054,4403,4811,5259,615,60292
,,계,7672,10063,2766,6481,2400,2328,2564,303,16137,2840,3787,4492,3543,6471,7370,7432,1222,87871
,소계,비사업용,1072545,507088,446266,550549,253768,246065,216181,55642,2229517,352258,356418,489885,413737,454247,626002,685675,165597,9121440
,,사업용,75286,44942,23563,125526,15162,13793,10221,1890,140056,12761,18376,24170,21871,62596,29098,44015,69479,732805
,,계,1147831,552030,469829,676075,268930,259858,226402,57532,2369573,365019,374794,514055,435608,516843,655100,729690,235076,9854245
엘피지,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,156448,81584,90101,65972,68017,54715,29438,9984,306733,46928,53891,70057,76117,77927,106744,108048,22976,1425680
,,사업용,85988,31154,19573,58206,13393,11675,6418,477,56794,9562,10582,9987,12772,19840,12759,20783,35680,415643
,,계,242436,112738,109674,124178,81410,66390,35856,10461,363527,56490,64473,80044,88889,97767,119503,128831,58656,1841323
,승합,비사업용,17349,5282,3773,4919,2273,2444,1337,298,20148,2224,2164,2722,2519,2906,4276,5348,1992,81974
,,사업용,95,34,4,119,4,5,2,0,43,6,5,0,8,550,6,28,48,957
,,계,17444,5316,3777,5038,2277,2449,1339,298,20191,2230,2169,2722,2527,3456,4282,5376,2040,82931
,화물,비사업용,23411,5631,5259,8851,2915,2541,1987,335,31678,3871,2982,4046,3356,4353,6026,7448,3519,118209
,,사업용,5780,122,378,997,163,39,25,6,4736,43,44,58,54,44,108,73,15,12685
,,계,29191,5753,5637,9848,3078,2580,2012,341,36414,3914,3026,4104,3410,4397,6134,7521,3534,130894
,특수,비사업용,21,11,12,10,7,4,1,0,53,7,4,14,10,9,14,17,1,195
,,사업용,63,0,1,0,0,0,0,0,1,1,0,5,2,1,5,1,0,80
,,계,84,11,13,10,7,4,1,0,54,8,4,19,12,10,19,18,1,275
,소계,비사업용,197229,92508,99145,79752,73212,59704,32763,10617,358612,53030,59041,76839,82002,85195,117060,120861,28488,1626058
,,사업용,91926,31310,19956,59322,13560,11719,6445,483,61574,9612,10631,10050,12836,20435,12878,20885,35743,429365
,,계,289155,123818,119101,139074,86772,71423,39208,11100,420186,62642,69672,86889,94838,105630,129938,141746,64231,2055423
등유,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,소계,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
전기,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,4045,1162,4675,1138,1090,923,638,362,5118,949,695,831,804,1724,1637,1703,9951,37445
,,사업용,4033,90,232,45,44,104,1,1,68,45,1,2,0,36,2,51,3583,8338
,,계,8078,1252,4907,1183,1134,1027,639,363,5186,994,696,833,804,1760,1639,1754,13534,45783
,승합,비사업용,3,0,0,0,0,2,0,0,6,1,1,0,0,0,2,0,0,15
,,사업용,0,36,0,0,0,1,0,0,40,4,0,0,0,8,4,4,83,180
,,계,3,36,0,0,0,3,0,0,46,5,1,0,0,8,6,4,83,195
,화물,비사업용,23,0,0,0,0,1,0,0,3,1,1,0,0,0,2,4,17,52
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
,,계,23,0,0,0,0,1,0,0,3,1,1,0,0,0,2,4,19,54
,특수,비사업용,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6
,소계,비사업용,4072,1162,4675,1138,1090,926,638,366,5127,951,697,831,804,1724,1642,1707,9968,37518
,,사업용,4033,126,232,45,44,105,1,1,108,49,1,2,0,44,6,55,3668,8520
,,계,8105,1288,4907,1183,1134,1031,639,367,5235,1000,698,833,804,1768,1648,1762,13636,46038
알코올,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,소계,비사업용,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
태양열,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,552,404,832,305,341,411,103,63,1398,404,246,181,367,254,333,448,13,6655
,,사업용,37,10,7,0,4,4,0,0,155,34,2,0,2,2,1,1,1,260
,,계,589,414,839,305,345,415,103,63,1553,438,248,181,369,256,334,449,14,6915
,승합,비사업용,61,14,10,77,7,11,5,9,58,5,11,6,1,3,24,7,0,309
,,사업용,8585,2658,1709,2417,1100,1240,708,25,7559,404,425,407,660,743,783,1201,0,30624
,,계,8646,2672,1719,2494,1107,1251,713,34,7617,409,436,413,661,746,807,1208,0,30933
,화물,비사업용,422,53,104,25,9,48,8,0,77,34,42,12,64,89,70,142,0,1199
,,사업용,3,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,8
,,계,425,53,105,27,9,48,8,0,77,34,42,12,64,90,71,142,0,1207
,특수,비사업용,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,소계,비사업용,1038,471,946,407,357,470,116,72,1533,443,299,199,432,346,427,597,13,8166
,,사업용,8625,2668,1717,2419,1104,1244,708,25,7714,438,427,407,662,746,785,1202,1,30892
,,계,9663,3139,2663,2826,1461,1714,824,97,9247,881,726,606,1094,1092,1212,1799,14,39058
LNG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,승합,비사업용,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,,사업용,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
,,계,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,계,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,소계,비사업용,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,,사업용,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3
,,계,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,4
하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,63344,19778,18545,20034,9404,9221,7279,3484,98635,9829,9775,12917,10191,10011,15304,19429,4628,341808
,,사업용,4176,523,92,5348,28,27,20,5,203,26,38,32,166,442,30,461,3249,14866
,,계,67520,20301,18637,25382,9432,9248,7299,3489,98838,9855,9813,12949,10357,10453,15334,19890,7877,356674
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,63344,19778,18545,20034,9404,9221,7279,3484,98635,9829,9775,12917,10191,10011,15304,19429,4628,341808
,,사업용,4176,523,92,5348,28,27,20,5,203,26,38,32,166,442,30,461,3249,14866
,,계,67520,20301,18637,25382,9432,9248,7299,3489,98838,9855,9813,12949,10357,10453,15334,19890,7877,356674
하이브리드(경유+전기),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,27,13,16,4,2,3,0,0,26,0,3,2,2,1,1,14,0,114
,,사업용,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,,계,27,13,16,4,2,3,0,1,26,0,3,2,2,1,1,14,0,115
,승합,비사업용,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
,,사업용,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
,,계,1,1,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,10
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,28,14,17,4,2,4,0,0,27,0,3,2,2,1,1,14,0,119
,,사업용,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,6
,,계,28,14,17,8,3,4,0,1,27,0,3,2,2,1,1,14,0,125
하이브리드(LPG+전기),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,1975,890,1041,864,727,582,561,190,4121,747,719,814,850,926,1113,1123,322,17565
,,사업용,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4
,,계,1975,890,1041,866,727,583,561,190,4122,747,719,814,850,926,1113,1123,322,17569
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,1975,890,1041,864,727,582,561,190,4121,747,719,814,850,926,1113,1123,322,17565
,,사업용,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4
,,계,1975,890,1041,866,727,583,561,190,4122,747,719,814,850,926,1113,1123,322,17569
하이브리드(CNG+전기),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,51,2,13,34,22,0,46,27,75,0,3,0,9,0,15,1,0,298
,,계,51,2,13,34,22,0,46,27,75,0,3,0,9,0,15,1,0,298
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,51,2,13,34,22,0,46,27,75,0,3,0,9,0,15,1,0,298
,,계,51,2,13,34,22,0,46,27,75,0,3,0,9,0,15,1,0,298
하이브리드(LNG+전기),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수소,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,35,0,2,3,61,1,193,3,5,0,0,38,1,2,0,80,0,424
,,사업용,0,0,0,0,30,0,12,0,0,0,0,0,0,0,0,0,0,42
,,계,35,0,2,3,91,1,205,3,5,0,0,38,1,2,0,80,0,466
,승합,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,화물,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,특수,비사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,사업용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,소계,비사업용,35,0,2,3,61,1,193,3,5,0,0,38,1,2,0,80,0,424
,,사업용,0,0,0,0,30,0,12,0,0,0,0,0,0,0,0,0,0,42
,,계,35,0,2,3,91,1,205,3,5,0,0,38,1,2,0,80,0,466
기타연료,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,302,38,54,9,14,1,9,1,155,3,3,1,7,7,22,7,1,634
,,사업용,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,계,302,38,54,9,15,1,9,1,155,3,3,1,7,7,22,7,1,635
,승합,비사업용,1086,350,641,506,398,385,237,172,3584,480,501,829,437,377,782,661,101,11527
,,사업용,1,0,0,1,3,0,2,0,38,0,0,2,0,0,1,0,0,48
,,계,1087,350,641,507,401,385,239,172,3622,480,501,831,437,377,783,661,101,11575
,화물,비사업용,2833,1776,1422,1973,985,1229,1466,294,9438,1419,1697,3151,1612,1754,2738,2289,304,36380
,,사업용,1190,12515,938,8474,1386,1004,2684,55,6248,715,2307,2434,1733,5700,4550,3800,208,55941
,,계,4023,14291,2360,10447,2371,2233,4150,349,15686,2134,4004,5585,3345,7454,7288,6089,512,92321
,특수,비사업용,129,37,42,80,36,32,29,6,362,66,55,88,71,79,83,108,34,1337
,,사업용,2,0,0,6,3,0,0,0,19,1,0,0,0,63,0,1,0,95
,,계,131,37,42,86,39,32,29,6,381,67,55,88,71,142,83,109,34,1432
,소계,비사업용,4350,2201,2159,2568,1433,1647,1741,473,13539,1968,2256,4069,2127,2217,3625,3065,440,49878
,,사업용,1193,12515,938,8481,1393,1004,2686,55,6305,716,2307,2436,1733,5763,4551,3801,208,56085
,,계,5543,14716,3097,11049,2826,2651,4427,528,19844,2684,4563,6505,3860,7980,8176,6866,648,105963
총계,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,승용,비사업용,2528307,1057220,951375,1048709,528922,541542,459040,124113,4450725,563546,602709,804929,668140,642249,1027886,1288029,279953,17567394
,,사업용,126521,57630,23384,258734,16459,14381,8109,601,77908,12000,13402,13754,19080,94469,15016,45675,160277,957400
,,계,2654828,1114850,974759,1307443,545381,555923,467149,124714,4528633,575546,616111,818683,687220,736718,1042902,1333704,440230,18524794
,승합,비사업용,106328,39711,29234,42050,18769,20276,13586,3888,188111,27145,27506,38284,29875,32713,45028,49212,12772,724488
,,사업용,16364,6081,4224,12250,2595,2213,2015,352,32634,3282,3745,5534,4377,8582,5618,7669,7649,125184
,,계,122692,45792,33458,54300,21364,22489,15601,4240,220745,30427,31251,43818,34252,41295,50646,56881,20421,849672
,화물,비사업용,281752,157293,143978,160578,79661,76216,62518,13982,681372,146405,143156,202653,171506,218408,291496,267168,76354,3174496
,,사업용,56743,33012,18837,29660,11985,11095,9085,1429,108289,8121,13462,16939,14923,19772,23247,23943,3429,403971
,,계,338495,190305,162815,190238,91646,87311,71603,15411,789661,154526,156618,219592,186429,238180,314743,291111,79783,3578467
,특수,비사업용,2908,1635,953,1577,800,811,585,165,5991,1378,1256,1783,1571,2158,2659,2300,643,29173
,,사업용,5001,8482,1868,5009,1646,1555,2010,148,10592,1538,2590,2818,2056,4467,4816,5261,615,60472
,,계,7909,10117,2821,6586,2446,2366,2595,313,16583,2916,3846,4601,3627,6625,7475,7561,1258,89645
,소계,비사업용,2919295,1255859,1125540,1252914,628152,638845,535729,142148,5326199,738474,774627,1047649,871092,895528,1367069,1606709,369722,21495551
,,사업용,204629,105205,48313,305653,32685,29244,21219,2530,229423,24941,33199,39045,40436,127290,48697,82548,171970,1547027
,,계,3123924,1361064,1173853,1558567,660837,668089,556948,144678,5555622,763415,807826,1086694,911528,1022818,1415766,1689257,541692,23042578
